Type of course,Higher Education/Professional Development,Course Title,Course link,Course Provider,Country,"Primary location (City, Online, Blended)",Language,Length of course,Qualification or accreditation,"Study mode (FT, PT, Flexible)","Department(s), Faculty",Core modules/units/course content,Additional modules/units,"Techniques, tools, programming languages",Placement,Total cost EU (starting 2016),Cost non-EU (starting 2016),Subsidised Learning,Target audience,"Listed, searchable?","search term, tag",Entry requirements?,Frequency of course,Start date/time,Year established,Industry partners
Masters,Higher Education,Data Studies,http://www.donau-uni.ac.at/en/studium/data-studies/index.php,Danube University Krems,Austria,Campus Krems,"English, native language",5 semesters,Master of Science,"FT, PT","Arts, Culture and Building","Data Literacy, Digital Methods, Dat Imagery, Digital Humanities, Data Methodology, Seminar Data Privacy Law, Practical Project Work, Information Management and Data Analysis, Module e-Presence, Scientific Theory, Research Methods, and Masters Thesis Seminar",Data not available,Data not available,Data not available,"EUR 14,850.00",Data not available,Data not available,"Journalists, Engineers, Developers, Digital Humanities, Digital Curators, Librarians, Archivists, Media Scientists, Historians, Cultural Scientists, Art Historians, Technical Scientists, and Data Managers.",Data not available,"data, humanities",http://www.donau-uni.ac.at/en/studium/data-studies/20799/index.php,Annual,autumn,Data not available,No evidence of industry partners
Academic Expert,Higher Education,Data Studies,http://www.donau-uni.ac.at/en/studium/data-studies/index.php,Danube University Krems,Austria,Campus Krems,"English, native language",3 semesters,"Akademische/r Experte/in, AE","FT, PT",Data not available,"Data Literacy, Digital Methods, Dat Imagery, Digital Humanities, Data Methodology, Seminar Data Privacy Law, Practical Project Work, Information Management and Data Analysis, Module e-Presence",Data not available,Data not available,Data not available,"EUR 9,850.00",Data not available,Data not available,"Journalists, Engineers, Developers, Digital Humanities, Digital Curators, Librarians, Archivists, Media Scientists, Historians, Cultural Scientists, Art Historians, Technical Scientists, and Data Managers.",Data not available,Data not available,Data not available,Annual,autumn,Data not available,No evidence of industry partners
Certificate,Higher Education,Data Studies,http://www.donau-uni.ac.at/en/studium/data-studies/index.php,Danube University Krems,Austria,Campus Krems,"English, native language",3 semesters,Certified Programme,"FT, PT",Data not available,"Data Literacy, Digital Methods, Dat Imagery, Digital Humanities, Data Methodology",Data not available,Data not available,Data not available,"EUR 5,850.00",Data not available,Data not available,"Journalists, Engineers, Developers, Digital Humanities, Digital Curators, Librarians, Archivists, Media Scientists, Historians, Cultural Scientists, Art Historians, Technical Scientists, and Data Managers.",Data not available,"data, humanities",Data not available,Annual,autumn,Data not available,No evidence of industry partners
Bachelors,Higher Education,Wirtschaftsinformatik (Business Informatics),http://www.jku.at/content/e262/e242/e2380/e2268/,Johannes Kepler Universitaet Linz,Austria,Linz,Native language,3 years,Bachelor of Science,FT,Data not available,"Grundlagen der Wirtschaftsinformatik, Grundlagen der Betriebswirtschaftslehre, Grundlagen der Informatik, Grundlagen der Mathematik, Statistik und formaler Methoden, Grundlagen der Rechts, Fachsprache Englisch, Soziale und geschlechterspezifische Aspekte der IT, Information Engineering, Data and Knowledge Engineering, Software Engineering, Ausgewï¿½hlte Aspekte der Wirtschaftsinformatik, Spezialisierungsfach Wirtschaftsinformatik (mit Bachelorarbeit), Wahlfach Wirtschaftsinformatik oder Wirtschaftswissenschaften","Typisch: Algorithmen and Datenstrukturen, Prozess- and Kommunikationsmodellierung, Mathematik und Logic, Datenmodellierung",Data not available,Data not available,Data not available,Data not available,Data not available,"Graduates going into industry and business with IT, analysis and consulting specialisation",http://www.studienwahl.at,"computing, data",Data not available,Annual,autumn,Data not available,No evidence of industry partners
Masters,Higher Education,Wirtschaftsinformatik (Business Informatics),http://www.jku.at/content/e262/e242/e2380/e2294,Johannes Kepler Universitaet Linz,Austria,Linz,Native language,2 years,Master of Science,FT,Data not available,"Pflichtprogramme: Spezialkompetenz Wirtschaftsinformatik, Ausgewï¿½hlte Aspekte der Wirtschaftsinformatik, Advanced Text Production in Business Informatics, Vertiefende soziale und geschlechterspezifische Aspekte der IT. Auswahl: Information Engineering & Management, Software Engineering, Business Intelligence, Business Engineering & Management","Spezialkompetenz Wirtschaftsinformatik Spezialkompetenz Informatik Specialization Business Intelligence and Data Science: Service Engineering Advanced, Service Engineering, Semantic Technologies, Data Warehousing, Data Mining, Strategische IT-Planung, Business Engineering and Management.",Data not available,Data not available,Information,Information,Data not available,Data not available,http://www.studienwahl.at,"computing, data",Data not available,Annual,autumn,Data not available,No evidence of industry partners
Bachelors,Higher Education,Wirtschaftsinformatik (Business Informatics),https://www.technikum-wien.at/studium/bachelor/wirtschaftsinformatik/,Technikum Wien Akademy (University of Applied Sciences Vienna),Austria,Vienna,Native language,3 years,Bachelor of Science,"FT, PT",Data not available,Aktuellen Lehrveranstaltungen,"Spezialisierungsmï¿½glichkeiten: eGovernment, eFinance, eHealth, Mobile Computing, Open Source, Supply Chain Management, Cloud Computing, Security, Advanced Software Engineering, Social Media Management",Data not available,Internship in year 3,"EUR 363,36 Studiengebbï¿½hr, EUR 75,- Kostenbeitrag fï¿½r Zusatzleistungen, EUR 19,20 ï¿½H-Beitrag",Data not available,Data not available,School leavers,http://www.studienwahl.at,computing,University entrance qualification exam in a relevant field,Annual,autumn,Data not available,No evidence of industry partners
Masters,Higher Education,Information Systems,https://www.wu.ac.at/en/programs/masters-programs/information-systems/overview/,Vienna University,Austria,Vienna,"English, native language",2 years,Master of Science (WU),FT,"Department of Information Systems and Operations; Department of Business, Employment and Social Security Law; Department of Socioeconomics; Department of Finance, Accounting and Statistics; Department of Strategy and Innovation",Business Information Systems Business Process Management Database Systems Data Mining and Decision Support Systems Distributed Systems Information Systems Development Innovation Management Introduction to IT Law IT Governance and Controlling IT Strategy Theory of Computation User-Centered IS Design,"Specializations (up to 2 for choice): Information Systems, Engineering Information Systems, Service Management, Information Systems Processes Competence Areas (up to 2 for choice): ICT Law, Information Systems Management and Accountability, Spatial Business Intelligence, Sustainable Information Systems Master Thesis",Data not available,Data not available,"EUR 1,453.44","EUR 2,906.88",some discounts available,"Graduates going into industry and business with IT, analysis and consulting specialisation",Data not available,"business, information systems, IT",Bachelor Degree: Information systems and/or computer science OR Mathematics and/or statistics OR Business Administration and/or economics as well as information systems and/or computer sciences. English,Annual,Winter semester,Data not available,No evidence of industry partners
Short Course,Professional Development,Module A: Methods from Maths and Informatics,http://www.risc-software.at/de/smapro-main/kursmodule,SmaPro,Austria,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,"Course 1: Knowledge Discovery Course 2: Formal Methods Course 3: Big Data, analysis of unstructured data",Data not available,"OWL, RFD",Data not available,Data not available,Data not available,Data not available,Representatives from the Industrie 4.0 sector.,Data not available,Data not available,Data not available,N/A,N/A,Data not available,No evidence of industry partners
Masters,Higher Education,Applied Computer Science,http://www.vub.ac.be/en/study/applied-sciences-and-engineering-applied-computer-science/programme,Free University of Brussels,Belgium,Brussels,English,2 years,Master of Science,FT,Engineering,"Fundamentals of Computer Science,Techniques of Artificial Intelligence, Databases, Web Technologies, Computer Systems, Operating Systems and Security, Operating Systems and Security, Scripting Languages, Algorithms and Data Structures, Advanced Programming Concepts, Technology and applications of micro-electronics and photonics, Modelling Languages, Data Representation, Reduction and Analysis, Distributed Computing and Storage Architectures","Option Smart Cities: Sustainable Mobility and Logistics, Software and Engineering for Embedded Systems, Management and Performance Analysis of Sensor Networks, Navigation and Intelligent Vehicles. Option Digital Health: Statistical Foundations of Machine Learning, Medical Informatics, Algorithms in Computational Biology and Bioinformatics, Biomedical Signals and Images Optional Elective Modules, Optional Entrepreneurship Modules, Optional Internship, Masters Thesis",Data not available,Optional,EUR 890.00,EUR 5900,some discounts available,"students who have already completed an academic bachelorï¿½s or masterï¿½s degree in a field of exact sciences or engineering, with little or outdated computer science related contents.",Data not available,Data not available,Bachelor Degree in Science or Engineering,Annual,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Statistical Data Analysis,https://sites.google.com/site/mastatugent/,Ghent University,Belgium,Ghent,English,"1 year (FT), 2-3 years (PT)",Master of Science,"FT, PT",Data not available,"Statistical Computing, Principles of Statistical Data Analysis, Major Statistical Science: Analysis of Continuous Data, Statistical Inference, Categorical Data Analysis, Major Computational Statistics: Statistical Modelling, Big Data Science, Programming and Algorithms, Databases","Bayesian Statistics, Analysis of High Dimensional Data, Computational Biology, Computer Intensive Statistical Methods, Experimental Design, Spatial Statistics, Econometrics, Epidemiology and Clinical Trials, Causality and Missing Data, Statistical Genomics, Survival Analysis, Analysis of Clustered and Longitudinal Data",Data not available,Data not available,"EUR 2,930.00","EUR 2,930.00",no scholarships,Data not available,Data not available,Data not available,"Master of Science degree in related discipline, with basic statistics and maths knowledge",Annual,autumn,Data not available,No evidence of industry partners
Masters,Higher Education,Computer Science: Data Science,https://www.uantwerpen.be/en/education/education-and-training/master-data-science/programme-info/ https://www.uantwerpen.be/nl/onderwijs/opleidingsaanbod/master-informatica-data-science/profiel/,University of Antwerp,Belgium,Antwerp,"English, native language",2 years,Master of Science,FT,Department of Mathematics and Computer Science,"Major Data Science: Database systems, Information retrieval, Modelling of software-intensive systems, Data mining, Distributed computing, Scientific English, Research Internship*2","Project databases, Bioinformatics, Current trends in information retrieval. Options Dutch Language (depend on campus): Bioinformatics, Big Data Algorithms, Data Science Project, Current Trends in Data Science, Case Studies in Data Science, Statistische modellen en data-analyse, Text-based information retrieval, Complexiteit, Fundamenten van databases, Web-informatiesystemen Option Dutch Language, Management and entrepreneurship: Financieel management en juridische aspecten, Management en organisatie, Strategische bedrijfscommunicatie, Innovatie en entrepreneurship, Procesmanagement en kwaliteitszorg",Data not available,Compulsory research internship*2,"EUR 1,550.00","EUR 1,550.00",no scholarships,Competent professionals with a scientific background,mastersportaleu.com,data science,"BSc in Information Sciences, Computer Science, or Engineering Sciences: Computer Science",Annual,autumn,Data not available,No evidence of industry partners
Short Course,Professional Development,The essence of Predictive Analytics for Managers,https://datasciencebe.com/2015/05/25/analytical-training-for-managers/,Brussels DataScience Community,Belgium,Brussels,English,4 hours,Attendees receive an electronic version of the handouts and a proof of participation at the conclusion of the workshop.,FT,Instructor Led,What is predictive analytics? Basic underlying principles for predictive analytics. Requirements for predictive analytics. Limitations of predictive analytics. A reliable process for managing and building predictive models.,Data not available,Data not available,Data not available,EUR 570.00,EUR 570.00,Data not available,"Beginners. Managers of analytical teams, Managers of functional departments (marketing, risk, operations, HR,ï¿½), Project managers, CXO.",Data not available,Data not available,"Before the start of the first session, participants should attempt to define a practical and relevant project within their organisation. At completion of the workshop, it is the aim that managers will be able to further define and understand the steps needed to manage this challenge to success.",Organised ad hoc by the provider. Check website for latest courses on offer.,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,One off Executive Class: Business Data Scientist,http://www.businessdecision.be/4032-bds.htm,"Data Innovation Hub, Radbound Management Academy, Business & Decision",Belgium,Brussels,English,2 days,"Certificate from Radboud Management Academy, subject to your active participation.",FT,Instructor Led,Module 1: The science of data science Module 2: Data Analytics Module 3: Business analytics Module 4: Tactics of the Data scientist Module 5: Interactive Learning Session,Data not available,"Hadoop, R",Data not available,EUR 1500 (VAT exempt).,EUR 1500 (VAT exempt).,Data not available,"The course is meant for professionals working in or aspiring a career in data and/or business analysis. BI managers, Project managers Data Science/Big Data projects, Big Data team leads, Business analysts, Data scientists seeking to complement their technical skills.",Data not available,Data not available,"5 years of professional experience in the areas of business analysis, data analysis, project management or team management Exposure to one of the following domains: Business analysis, Business Intelligence, Information architecture, Data Analysis, Data science, or Data engineering.",Check with provider for latest scheduled course.,June,Data not available,No evidence of industry partners
Traineeship,Professional Development,Data Innovation Bootcamp for Data Science Trainees,http://di-academy.com/bootcamp/,di academy,Belgium,Brussels,English,12 weeks (2 days/week),Certificate of participation.,PT,Instructor Led,"Students will work on projects and business cases (fraud, marketing, risk, HR analytics, text mining, machine learning, ï¿½) throughout the bootcamp once they are up to speed with R, Python, SAS & Hadoop. Data visualization techniques and communication skills will also be addressed.",Data not available,"R, Python, SAS & Hadoop.",This scheme is run in partnership with 10 companies (not specified). Trainees are offered a contract with the company during the course.,No fee,No fee,Participants are offered a contract to work in the data science team of a major company and will be coached during this period.,"Graduates with a technical background, looking to work in data science for business.",Data not available,Data not available,"Graduates from university this summer in mathematics, statistics, engineering, science, it or a related field and you have mastered at least one programming language. Young graduates with maximum two years of experience can also apply.",Contact provider to request details.,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Community MeetUp: eg.Coached MOOC TensorFlow,http://di-academy.com/event/coached-mooc-tensorflow/,di academy,Belgium,Brussels,English,4 evenings,Data not available,PT,Instructor Led,Based on UDACITY Machine Learning course: From Machine Learning to Deep Learning Deep Neural Networks Convolutional Neural Networks Deep Models for Text and Sequences,Data not available,TensorFlow,Data not available,No fee.,No fee.,Data not available,"This is an intermediate to advanced level course offered as part of the Machine Learning Engineer Nanodegree program. It assumes you have taken a first course in machine learning, and that you are at least familiar with supervised learning methods.",hotcourses.com,big data,Technical proficiency with programming and mathematics is assumed. Fundamental understanding of machine learning is assumed.,The Data Innovation Hub offers many one-off courses for the community. Check for latest offerings.,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Shaping the data-driven company,https://gehu.training/courses/data-science/level-a-data-science-essentials-for-health/,"EIT Digital Professional School, iMinds",Belgium,London,English,3 weeks,Digital certificate of completion (which you can integrate in your LinkedIn profile),PT,Blended learning,Module 1: Business Perspective Module 2: Data perspective Module 3: Hands-on experience,Data not available,Data not available,Data not available,EUR 49.00,EUR 49.00,Data not available,"People willing to understand how data science will impact businesses, people who would like to work in a data-driven business or who want to enhance the data knowledge they already have Academics who want to translate knowledge into practice or improve their technical skills Managers handling data-driven projects Executives interested in the impact of data science on their enterprise",Data not available,Data not available,Data not available,Regular professional courses available.,Summer 2016. Check with EIT for latest courses.,Data not available,No evidence of industry partners
Bachelors,Higher Education,Applied/Business Computing,http://www.unidu.hr/datoteke/635izb/racunarstvo.pdf,University of Dubrovnik,Croatia,Dubrovnik,Native language,3 years,Bachelor of Science,FT,Electrical Engineering and Computing Department,Core Modules,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Information Systems,http://www.euc.ac.cy/easyconsole.cfm/id/176/dep/168/program_id/60,European University of Cyprus,Cyprus,Nicosia,English,18 months,Master of Science,"FT, PT",School of Sciences,Requirements: Engineering and Management Project Management Strategic Information Systems Integrating the Enterprise Research Methodology Information Systems Project,"E-Business Start-up, Building E-Business Computer Networks and IT Infrastructure Human Computer Interaction Decision Support Systems Data and Knowledge Management Systems Information Visualization",Data not available,Data not available,EUR 314 per module,EUR 322 per module,Scholarships and Financial Assistance,Intermediate,Data not available,Data not available,"Successful completion of a Bachelorï¿½s degree at a recognized institution, or equivalent professional qualifications.",twice a year,"October, February",Data not available,No evidence of industry partners
Masters,Higher Education,Intelligent Systems,http://www.cs.ucy.ac.cy/en/education/postgrad/mis,University of Cyprus,Cyprus,Nicosia,English,2 years,Master of Science,"FT, PT",Data not available,"Artificial Intelligence, Electronic Games Software Engineering, Digital Video Processing, Information Retrieval and Search Engines, Multi-Agent Systems, Machine Learning and Data Mining, Computational Logic, System Analysis and Verification, Constraint Solving Methods, Computational Bioscience, Neuroinformatics, Research Methodologies in Computer Science, Temporal Information Systems in Medicine, E-Health","Distributed Systems, Foundations of Web Technologies, Advanced Software Engineering, Advanced Computer Architecture, Networks and the Internet, Visual Computing, Advanced Databases, Data Management for Mobile Computing, E-Commerce, Learning Technologies and Open and Distance Learning, Advanced Parallel Processing, Computer Graphics: Modelling and Realism, Wireless Computer Networks, Design with Embedded Processors, System Analysis and Verification, Machine Vision, Algorithmic Game Theory, System and Network Security, Web Services and Service Oriented Computing, Software Architectures, Component-Based Systems, Special Topics in Computer Science",Data not available,Data not available,"EUR 4,100.00","EUR 4,100.00",Data not available,Data not available,Data not available,Data not available,Data not available,twice a year,Data not available,Data not available,No evidence of industry partners
Bachelors,Higher Education,Geoinformatics,http://www.vsb.cz/en/study-here/degree-students/bachelor-degree/bachelor-degree-detail/index.html?id=1509&type=branch,Technical University of Ostrava,Czech Republic,Ostrava,English,3 years,Bachelor of Science,FT,Faculty of Mining and Geology,"Photogrammetry, Introduction to Geoinformatics, Introduction to Geography, Spatial Problems Algorithm Development, Principles of Informatics, Digital Terrain Models, Introductory field practice, Basics of Mathematics, Principles of Physics, Geodesy, Database Systems, Sources of Spatial Data, Global Navigation and Positioning Systems, GIS and GNSS Field Works, Bachelor Physics, GIS Data Processing, Thematic Cartography, Programming I, Remote Sensing, Geodata processing practice, Interpretation of geodata, Quantitative methods in geography, Computer Graphics",Data not available,Data not available,Data not available,"EUR 3,500.00","EUR 3,500.00",Data not available,Students who would like to get knowledge about work with spatial data,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Geoinformatics,http://www.vsb.cz/en/study-here/degree-students/master-degree/master-degree-detail/index.html?id=1448&type=branch,Technical University of Ostrava,Czech Republic,Ostrava,English,2 years,Master of Science,FT,Faculty of Mining and Geology,"Digital Processing of Remotely Sensed Data, Modelling and Simulation in Geosciences, Planning of Geoinformation Technologies Applications, Spatial Problems Algorithm Development, Thesis Seminar I, II & III, Selected Chapters of Physics, Cartography and GIS Excursion, Professional Practice, Programming III, EntrepreneurshipIntroduction to ManagementMobile Geoinformation Technologies, Field Work, Spatial Databases, Entrepreneurship, Introduction to Management, Mobile Geoinformation Technologies","Logic for Practice, Elements of the Hydrometeorology, Human Geography, Data and Model Uncertainty, Web Pages Development and Design, Numerical Methods and Statistics, Traffic Telematics, Object Oriented Analysis and Design, Programming IV, Spatial Data Publishing on WWW, GeoComputation",Data not available,Data not available,"EUR 4,000.00","EUR 4,000.00",Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Computer Science - Software and Data Engineering,http://www.mff.cuni.cz/admission/curriculum/,Charles University Prague,Czech Republic,Prague,English,3 years,Master of Science,FT,Data not available,"Introduction to Complexity and Computability, Data Structures I, Operating Systems","Query Languages I, II, Transactions, Stochastic Methods in Databases, Querying with Preferences, Data Mining, Retrieval of Multimedia Content on the Web, Big Data Management and NoSQL Databases, Data Visualization Techniques, Text Search Techniques, Probabilistic Methods, Introduction to Machine Learning, Concepts of Modern Programming Languages, Design Patterns, Programming in Parallel Environment, Recommended Programming Practices, High Performance Software Development, Advanced Programming Praxis, Computer Networks II, Principles of Distributed Systems, Introduction to Software Engineering, Development and Monitoring, Software System Architectures, Performance Evaluation of Computer Systems, Data Integration and Quality, Web Services, Software Engineering in Practice, Virtualization and Cloud, Computing, Cloud Application Development, Advanced Technologies for Web, Applications, Formal Foundations of Software, Engineering, Data Structures II",Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,No evidence of industry partners
Masters,Higher Education,Business Intelligence,http://kandidat.au.dk/en/businessintelligence/,Aarhus University,Denmark,Aarhus,English,2 years,Master of Science in Economics and Business Administration,FT,School of Business and Social Studies,Business Forecasting IS Development & Implementation in a Business Context Data Warehousing SAS and SQL for Business Analytics Data Mining for Business Decisions In Advanced Market Research Bayesian Networks Project Management: A Practitioners Approach - including PRINCE2,Electives up to 30 credits,Data not available,Internship possible,No fee,"EUR 10,000.00",Data not available,Data not available,Data not available,Data not available,Data not available,Annual,August/ September,Data not available,No evidence of industry partners
Masters,Higher Education,Digital Media Engineering: Data Science;,http://www.dtu.dk/english/Education/msc/Programmes/digital_media_engineering#study-programme__competence-profiles__data-science,Technical University of Denmark,Denmark,Kongens Lyngby,English,2 years,Master of Science,FT,Department of Applied Mathematics and Computer Science,Data Security Algorithms for Massive Data Sets Computational Data Analysis Social Data Analysis and Visualization Computational Tools for Big Data High Performance Computing Knowledge based entrepreneurship Social graphs and interactions Personal data interaction Introduction to machine learning and data mining Advanced project in digital media engineering Business model design for growth entrepreneurship,"Graph theory, Error-Correcting Codes, Dynamical Systems 1, Database Systems, Applied Cryptography_, Language Based Security, Computationally Hard Problems, User Experience Engineering, Data Logic_, System Integration, Stochastic Processes, Multivariate Statistics, Time Series Analysis, Stochastic Simulation, Introduction to Machine Learning and Data Modeling, Non-linear Signal Processing,Cognitive Modelling, Advanced Machine Learning, Advanced Image Analysis, Health Technology_Mathematical Biology, Biological Data Analysis and Chemometrics, Algorithms in Bioinformatics, Geographical Information Systems, Mathematical Programming with Modelling Software, Social Graphs and Interactions",Data not available,Data not available,No fee,"EUR 13,500.00",Data not available,Data not available,Data not available,Data not available,"Students from the following BSc Eng educations from DTU are accepted automatically: The BSc education in IT and Communication Technology, Software Technology, Electrotechnology, Mathematics and Technology. International applicants for the MSc program in Digital Media Engineering should hold a BSc degree in relevant areas such as e.g. information and communication technologies or computer science. We expect applicants to master at least one programming language, have solid skills in engineering math and a strong interest in the technologies underlying either web and social interaction or computer graphics.",Annual,August,Data not available,No evidence of industry partners
Masters,Higher Education,Geoinformatics,http://www.en.aau.dk/education/master/surveying-planning-land-management-msc-in-tech/specialisations/geoinformatics/academic-content/,Aalborg University,Denmark,Aalborg,English,2 years,Master of Science,FT,Data not available,Geospatial Information Technology Spatial Data Infrastructure Land Administration Project: GI Technology and Information Systems Geocomputation and Spatial Decision Support Systems Geovisualisation Project: GeoDesign,Data not available,Data not available,Internship possible,No fee,"EUR 12,573.00",Data not available,Those with Geography Domain Expertise. Beginners in Data Science.,Data not available,Data not available,"Bachelor degree in Surveying, Planning and Land management, Geography or study programmes with similar content.",Annual,September,Data not available,No evidence of industry partners
Masters,Higher Education,Data Engineering,http://www.studyguide.aau.dk/programmes/postgraduate/55777/,Aalborg University,Denmark,Aalborg,English,2 years,Master of Science,FT,"Faculty of Engineering and Science,","From Reality to Models in Data Engineering, Data-intensive Systems, Programming Paradigms, From Models to Reality in Data Engineering, Advanced Algorithms, Advanced Programming, Specialisation course in Database Systems, Entrepreneurship, Pre-specialisation in Data Engineering","Advanced Topics in Machine Intelligence, Mobile Software Technology, Advanced Topics in Distributed Systems, Web Engineering",Data not available,Internship possible,No fee,"EUR 12,573.00",Data not available,Data not available,Data not available,Data not available,"Bachelors degree in computer science, software or a closely related discipline. English language proficiency. Undergraduate mathematics as found in science or engineering degrees. Some programming and design experience. A solid computer science background that includes courses on: Theory of Computation (Automata Theory, Computability, Turing Machines), Computer Systems (Processors, Memories etc.), Algorithms and Data Structures (Lists, Trees, Graphs, sorting, searching, complexity), Object Oriented Analysis and Dsign (UML etc.), Object Oriented Programming (Java or C++), Programming Languages and Semantics, Compiling Techniques, Operating Systems, Concurrent Programming, Networks",twice a year,September and February,2011,No evidence of industry partners
Short Course,Professional Development,Power BI Take Full Advantage of your Data,http://www.inspari.dk/kurser-og-events/microsoft-power-bi-kursus/,Inspiri,Denmark,Denmark,Native language,1 day,Data not available,FT,Instructor Led,The Power of Power BI? Whatï¿½s in it for me? Overview of Power BI Grabbing the data with Power BI Visualization with Power BI Easy sharing no boundaries from the cloud!,Data not available,Microsoft Power BI,Data not available,"3,800.00 kr.","3,800.00 kr.",Discounts available for company training,Professionals who wan to get more from their data.,Data not available,Data not available,No prerequisites specified.,Check for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,DAX for beginners Formal Language of Power BI,http://www.inspari.dk/kurser-og-events/dax-for-begyndere/,Inspiri,Denmark,Denmark,Native language,1 day,Data not available,FT,Instructor Led,Introduction to DAX DAX Base Evaluation Context och Calculate time Intelligence Introduction to Studio DAX and DAX Queries,Data not available,DAX,Data not available,"3,800.00 kr.","3,800.00 kr.",Discounts available for company training,Advanced. The course is intended for those who are already familiar with Power BI Desktop or Power Pivot in Excel and want to take their work to the next level with DAX software.,Data not available,Data not available,No prerequisites specified.,Check for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Visualization Efficient Communication of Data,http://www.inspari.dk/kurser-og-events/kursus-i-datavisualisering/,Inspiri,Denmark,Denmark,Native language,1 day,Data not available,FT,Instructor Led,Why data visualization? The design process Selecting the right visual effects Highlight data through simplification Create focus in the right places Challenges and pitfalls in visualizing Exercises,Data not available,Excel,Data not available,"3,800.00 kr.","3,800.00 kr.",Discounts available for company training,Professionals who want to learn about crafting narratives with their data.,Data not available,Data not available,No prerequisites specified.,Check for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Get more out of Power BI with Excel 2013,http://www.inspari.dk/kurser-og-events/power-bi-med-ms-excel-2013/,Inspiri,Denmark,Denmark,Native language,1 day,Data not available,FT,Instructor Led,Introduction Business Intelligence Basis PowerPivot basis Introduction to DAX Understanding BI data models Load and transformation of data with Power Query Making use of Excel as a front end with Power Pivot Visualization with Power View Workshop on data from the Business Case,Data not available,"Excel, DAX",Data not available,"3,800.00 kr.","3,800.00 kr.",Discounts available for company training,"The course is designed so that it is tailored to users who are used to working with Microsoft Excel and users working with business data in daily life. The course is designed for users who want to use Microsoft Excel's full capacity in data processing, visualization, dashboards and analysis, and advanced formulas.",Data not available,Data not available,No prerequisites specified.,Check for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Big Data I - the big overview,http://bigdatainstitute.dk/undervisning/program/#bigdata1-about,Big Data Institute,Denmark,Data not available,Native language,Data not available,Data not available,FT,Instructor Led,"In this introductory course provides an overview of the key principles around Big Data, with special focus on the new business opportunities that arise when multiple data sources are connected.","Participants are encouraged to contribute data from their own businesses, to use as case studies.",MS Excel and Access,Data not available,"13,000.00 kr.","13,000.00 kr.",Data not available,Beginners. Working on the principle that Big Data does not require a doctorate in computer science or a professorrat in pivot tables.,Data not available,Data not available,No prerequisites specified.,Check or contact for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Big Data II - the big insight,http://bigdatainstitute.dk/undervisning/program/#bigdata2,Big Data Institute,Denmark,Data not available,Native language,Data not available,Data not available,FT,Instructor Led,"Introduction to the underlying principles of Digital Revenue Optimization. Together with training in proper tool use, the participants are thus able to make Big Data processing and analysis on their own. Course participants will work with self-selected empirical data and case studies. The purpose of Big Data II is to provide participants practical skills directly relevant to the business or the work they perform every day.",Available in two versions: PRIVATE companies and organizations PUBLIC institutions and bodies,MS Excel and Access,Data not available,"24,000.00 kr.","24,000.00 kr.",Data not available,Beginners. Working on the principle that Big Data does not require a doctorate in computer science or a professorrat in pivot tables.,Data not available,Data not available,No prerequisites specified.,Check or contact for latest scheduled courses,Data not available,Data not available,No evidence of industry partners
